Sunrise,DayLengthOut,TOPPID,Year,Month,Day,Hour,Minute,Second,JulDate,SmoothedSunrise,Sunset,Year,Month,Day,Hour,Minute,Second,JulDate,SmoothedSunset,SmoothedDaylength
5/29/2004 12:19,15.73480392,2004018,2004,5,29,12,19,54,732096.5138,12.35406164,5/30/2004 4:04,2004,5,30,4,4,0,732097.1694,4.001209195,15.64714755
5/30/2004 12:21,15.69146141,2004018,2004,5,30,12,21,39,732097.515,12.36472108,5/31/2004 4:03,2004,5,31,4,3,8,732098.1688,4.082714395,15.71799332
5/31/2004 12:22,15.81131579,2004018,2004,5,31,12,22,54,732098.5159,12.37537732,6/1/2004 4:11,2004,6,1,4,11,34,732099.1747,4.164749697,15.78937238
6/1/2004 12:27,15.70584058,2004018,2004,6,1,12,27,46,732099.5193,12.386504,6/2/2004 4:10,2004,6,2,4,10,7,732100.1737,4.246425195,15.85992119
6/2/2004 12:25,15.91265432,2004018,2004,6,2,12,25,11,732100.5175,12.39757302,6/3/2004 4:19,2004,6,3,4,19,56,732101.1805,4.328738399,15.93116538
6/3/2004 12:22,15.72437276,2004018,2004,6,3,12,22,40,732101.5157,12.40921933,6/4/2004 4:06,2004,6,4,4,6,7,732102.1709,4.409742748,16.00052341
6/4/2004 12:20,16.12538889,2004018,2004,6,4,12,20,33,732102.5143,12.42087031,6/5/2004 4:28,2004,6,5,4,28,5,732103.1862,4.492783656,16.07191334
6/5/2004 12:28,16.08636856,2004018,2004,6,5,12,28,52,732103.52,12.43236419,6/6/2004 4:34,2004,6,6,4,34,2,732104.1903,4.575803846,16.14343966
6/6/2004 12:26,16.30142244,2004018,2004,6,6,12,26,10,732104.5182,12.44377235,6/7/2004 4:44,2004,6,7,4,44,15,732105.1974,4.659072079,16.21529973
6/7/2004 12:20,16.46313933,2004018,2004,6,7,12,20,55,732105.5145,12.45568193,6/8/2004 4:48,2004,6,8,4,48,42,732106.2005,4.749598923,16.29391699
6/8/2004 12:32,16.23925983,2004018,2004,6,8,12,32,36,732106.5226,12.46773256,6/9/2004 4:46,2004,6,9,4,46,57,732107.1993,4.839737704,16.37200514
6/9/2004 12:25,16.24775112,2004018,2004,6,9,12,25,28,732107.5177,12.48408973,6/10/2004 4:40,2004,6,10,4,40,20,732108.1947,4.935849211,16.45175948
6/10/2004 12:29,16.44467593,2004018,2004,6,10,12,29,26,732108.5204,12.50057183,6/11/2004 4:56,2004,6,11,4,56,7,732109.2056,5.03345733,16.5328855
6/11/2004 12:41,16.40517511,2004018,2004,6,11,12,41,48,732109.529,12.51912886,6/12/2004 5:06,2004,6,12,5,6,6,732110.2126,5.130201108,16.61107225
6/12/2004 12:33,16.75381944,2004018,2004,6,12,12,33,48,732110.5235,12.53742646,6/13/2004 5:19,2004,6,13,5,19,2,732111.2216,5.227137028,16.68971057
6/13/2004 12:25,17.04086687,2004018,2004,6,13,12,25,42,732111.5178,12.56599931,6/14/2004 5:28,2004,6,14,5,28,9,732112.2279,5.318520768,16.75252145
